name,enabled,site_name,search_term,location,is_remote,distance,hours_old,results_wanted,country_indeed,linkedin_fetch_description,google_search_term
"Technical Account Manager (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Manager (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,"Boulder, CO",,25,24,1500,USA,TRUE,
"Customer Success Manager (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Manager (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,"Loveland, CO",,25,24,1500,USA,TRUE,
"Customer Success Manager (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Manager (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,"Denver, CO",,25,24,1500,USA,TRUE,
"Customer Success Manager (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Product Training Specialist (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,"Boulder, CO",,25,24,1500,USA,TRUE,
"Product Training Specialist (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Product Training Specialist (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,"Loveland, CO",,25,24,1500,USA,TRUE,
"Product Training Specialist (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Product Training Specialist (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,"Denver, CO",,25,24,1500,USA,TRUE,
"Product Training Specialist (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Analyst (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,"Boulder, CO",,25,24,1500,USA,TRUE,
"Customer Success Analyst (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Analyst (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,"Loveland, CO",,25,24,1500,USA,TRUE,
"Customer Success Analyst (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Analyst (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,"Denver, CO",,25,24,1500,USA,TRUE,
"Customer Success Analyst (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,"Boulder, CO",,25,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,"Loveland, CO",,25,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,"Denver, CO",,25,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Solutions Engineer (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,"Boulder, CO",,25,24,1500,USA,TRUE,
"Solutions Engineer (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Solutions Engineer (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,"Loveland, CO",,25,24,1500,USA,TRUE,
"Solutions Engineer (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Solutions Engineer (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,"Denver, CO",,25,24,1500,USA,TRUE,
"Solutions Engineer (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Professional Services Engineer (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,"Boulder, CO",,25,24,1500,USA,TRUE,
"Professional Services Engineer (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Professional Services Engineer (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,"Loveland, CO",,25,24,1500,USA,TRUE,
"Professional Services Engineer (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Professional Services Engineer (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,"Denver, CO",,25,24,1500,USA,TRUE,
"Professional Services Engineer (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,"Boulder, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,"Loveland, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,"Denver, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Engineer (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,"Boulder, CO",,25,24,1500,USA,TRUE,
"Customer Success Engineer (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Engineer (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,"Loveland, CO",,25,24,1500,USA,TRUE,
